id	invoice_no 	date	user_id	location_id	customer_id 	additional_fee	discount	total	payment	change	payment_type	status	posted_at	posted_by	voided_at	voided_by	created_at	updated_at
1833	2024/2.1843-26	23/02/2024			131			1265000	1265000	0		posted						
1834	2024/2.1844-26	23/02/2024			131	110000		4180000	4180000	0		posted						
1835	2024/2.1845-26	24/02/2024			131			2300000	2300000	0		posted						
1836	2024/2.1846-26	26/02/2024			899	140000		1070000	1070000	0		posted						
1837	2024/2.1847-26	26/02/2024			131		100000	880000	880000	0		posted						
1838	2024/2.1848-26	26/02/2024			900		70000	1610000	1610000	0		posted						
1839	2024/2.1849-26	26/02/2024			901	4310000		88355000	88355000	0		posted						
1840	2024/2.1850-26	26/02/2024			901	5620000		60415000	60415000	0		posted						
1841	2024/2.1851-26	26/02/2024			901	2032000		30607000	30607000	0		posted						
1842	2024/3.1852-23	27/02/2024			131		25000	285000	285000	0		posted						
1843	2024/3.1853-23	27/02/2024			131			435000	435000	0		posted						
1844	2024/3.1854-23	27/02/2024			131		34000	586000	586000	0		posted						
1845	2024/3.1855-23	27/03/2024			902	150000		1650000	1650000	0		posted						
1846	2024/3.1856-23	27/02/2024			553			1465000	1465000	0		posted						
1847	2024/3.1857-23	28/02/2024			131			480000	480000	0		posted						
1848	2024/3.1858-23	28/02/2024			131			230000	230000	0		posted						
1849	2024/3.1859-23	29/02/2024			131			470400	470400	0		posted						
1850	2024/3.1860-23	29/02/2024			903		60000	1480000	1480000	0		posted						
1851	2024/3.1861-23	29/02/2024			904			1200000	1200000	0		posted						
1852	2024/3.1862-23	29/02/2024			131			230000	230000	0		posted						
1853	2024/3.1863-23	01/03/2024			233			200000	200000	0		posted						
1854	2024/3.1864-23	01/03/2024			603		300000	3000000	3000000	0		posted						
1855	2024/3.1865-23	04/03/2024			835			1687500	1687500	0		posted						
1856	2024/3.1866-23	05/03/2024			131			980000	980000	0		posted						
1857	2024/3.1867-23	05/02/2024			358		300000	3150000	3150000	0		posted						
1858	2024/3.1868-23	05/03/2024			737		50000	1650000	1650000	0		posted						
