product_id,location_id,adjust_qty,unit_cost,reason
239,12,10,,"Auto top-up for posting draft sales"
240,12,476,,"Auto top-up for posting draft sales"
241,12,2,,"Auto top-up for posting draft sales"
242,12,8,,"Auto top-up for posting draft sales"
243,12,3,,"Auto top-up for posting draft sales"
245,12,2,,"Auto top-up for posting draft sales"
246,12,1,,"Auto top-up for posting draft sales"
247,12,1,,"Auto top-up for posting draft sales"
248,12,1,,"Auto top-up for posting draft sales"
249,12,2,,"Auto top-up for posting draft sales"
250,12,1,,"Auto top-up for posting draft sales"
253,12,2,,"Auto top-up for posting draft sales"
254,12,1,,"Auto top-up for posting draft sales"
256,12,1,,"Auto top-up for posting draft sales"
257,12,1,,"Auto top-up for posting draft sales"
258,12,10,,"Auto top-up for posting draft sales"
259,12,139,,"Auto top-up for posting draft sales"
260,12,2,,"Auto top-up for posting draft sales"
261,12,2,,"Auto top-up for posting draft sales"
262,12,14,,"Auto top-up for posting draft sales"
263,12,4,,"Auto top-up for posting draft sales"
264,12,2,,"Auto top-up for posting draft sales"
265,12,24,,"Auto top-up for posting draft sales"
266,12,1,,"Auto top-up for posting draft sales"
267,12,3,,"Auto top-up for posting draft sales"
270,12,4,,"Auto top-up for posting draft sales"
272,12,6,,"Auto top-up for posting draft sales"
273,12,13,,"Auto top-up for posting draft sales"
274,12,13,,"Auto top-up for posting draft sales"
275,12,33,,"Auto top-up for posting draft sales"
276,12,14,,"Auto top-up for posting draft sales"
277,12,25,,"Auto top-up for posting draft sales"
279,12,24,,"Auto top-up for posting draft sales"
280,12,22,,"Auto top-up for posting draft sales"
281,12,5351,,"Auto top-up for posting draft sales"
282,12,20,,"Auto top-up for posting draft sales"
283,12,2,,"Auto top-up for posting draft sales"
285,12,3,,"Auto top-up for posting draft sales"
286,12,1,,"Auto top-up for posting draft sales"
287,12,1,,"Auto top-up for posting draft sales"
288,12,48,,"Auto top-up for posting draft sales"
289,12,2,,"Auto top-up for posting draft sales"
291,12,2,,"Auto top-up for posting draft sales"
292,12,1,,"Auto top-up for posting draft sales"
293,12,7,,"Auto top-up for posting draft sales"
294,12,14,,"Auto top-up for posting draft sales"
295,12,2,,"Auto top-up for posting draft sales"
296,12,1,,"Auto top-up for posting draft sales"
